coverage	n
1077	0
1078	0
1079	1
1080	2
1081	4
1082	6
1083	4
1084	4
1085	10
1086	0
1087	4
1088	2
1089	0
1090	0
1091	0
1092	0
1093	0
1094	0
1095	0
1096	0
1097	0
1098	0
1099	0
1100	0
1101	0
1102	0
1103	0
1104	0
1105	0
1106	0
1107	0
1108	1
1109	0
1110	0
1111	0
1112	0
1113	0
1114	0
1115	0
1116	0
1117	0
1118	0
1119	0
1120	0
1121	0
1122	0
1123	0
1124	0
1125	0
1126	0
1127	0
1128	0
1129	0
1130	0
1131	0
1132	0
1133	0
1134	0
1135	0
1136	1
1137	1
1138	0
1139	1
1140	2
1141	1
1142	4
1143	3
1144	11
1145	1
1146	23
1147	5
1148	20
1149	20
1150	17
1151	8
1152	0
1153	1
1154	0
1155	0
1156	0
1157	0
1158	0
1159	0
1160	0
1161	2
1162	0
1163	0
1164	0
1165	0
1166	0
1167	0
1168	1
1169	0
1170	0
1171	1
1172	0
1173	0
1174	0
1175	0
1176	0
1177	1
1178	0
1179	1
1180	0
1181	0
1182	0
1183	0
1184	0
1185	0
1186	0
1187	1
1188	1
1189	0
1190	3
1191	6
1192	11
1193	11
1194	27
1195	13
1196	2
1197	0
1198	0
1199	0
1200	0
1201	0
1202	1
1203	1
1204	0
1205	0
1206	1
1207	1
1208	0
1209	1
1210	0
1211	2
1212	0
1213	6
1214	10
1215	2
1216	2
1217	2
1218	2
1219	0
1220	1
1221	5
1222	1
1223	0
1224	0
1225	0
1226	0
1227	0
1228	0
1229	0
1230	0
1231	0
1232	0
1233	1
1234	0
1235	0
1236	2
1237	0
1238	0
1239	2
1240	0
1241	0
1242	2
1243	2
1244	3
1245	1
1246	0
1247	3
1248	2
1249	2
1250	3
1251	2
1252	0
1253	0
1254	1
1255	0
1256	0
1257	0
1258	2
1259	1
1260	4
1261	6
1262	7
1263	11
1264	15
1265	8
1266	3
1267	6
1268	3
1269	3
1270	2
1271	2
1272	0
1273	2
1274	10
1275	6
1276	3
1277	3
1278	3
1279	2
1280	5
1281	1
1282	0
1283	4
1284	4
1285	4
1286	4
1287	2
1288	0
1289	0
1290	0
1291	1
1292	0
1293	0
1294	0
1295	0
1296	0
1297	0
1298	0
1299	1
1300	0
1301	0
1302	0
1303	0
1304	0
1305	0
1306	0
1307	0
1308	2
1309	1
1310	0
1311	0
1312	1
1313	0
1314	2
1315	3
1316	4
1317	5
1318	15
1319	2
1320	1
1321	3
1322	2
1323	1
1324	0
1325	0
1326	3
1327	0
1328	0
1329	0
1330	0
1331	0
1332	1
1333	2
1334	2
1335	2
1336	2
1337	2
1338	10
1339	14
1340	1
1341	3
1342	3
1343	6
1344	3
1345	9
1346	0
1347	0
1348	2
1349	2
1350	0
1351	1
1352	0
1353	2
1354	2
1355	1
1356	4
1357	4
1358	5
1359	3
1360	0
1361	5
1362	4
1363	0
1364	2
1365	1
1366	0
1367	4
1368	5
1369	12
1370	9
1371	3
1372	4
1373	3
1374	4
1375	3
1376	3
1377	0
1378	0
1379	0
1380	0
1381	0
1382	0
1383	0
1384	0
1385	0
1386	0
1387	1
1388	0
1389	0
1390	0
1391	7
1392	1
1393	2
1394	5
1395	9
1396	3
1397	2
1398	6
1399	6
1400	7
1401	10
1402	5
1403	6
1404	11
1405	3
1406	6
1407	8
1408	12
1409	16
1410	3
1411	8
1412	4
1413	8
1414	9
1415	7
1416	7
1417	0
1418	2
1419	2
1420	1
1421	1
1422	1
1423	0
1424	0
1425	0
1426	0
1427	0
1428	0
1429	0
1430	0
1431	2
1432	0
1433	0
1434	0
1435	1
1436	3
1437	0
1438	1
1439	3
1440	6
1441	4
1442	4
1443	1
1444	0
1445	0
1446	1
1447	2
1448	3
1449	1
1450	1
1451	0
1452	0
1453	1
1454	1
1455	1
1456	0
1457	0
1458	0
1459	0
1460	0
1461	1
1462	1
1463	2
1464	0
1465	0
1466	0
1467	2
1468	0
1469	0
1470	0
1471	1
1472	0
1473	0
1474	0
1475	0
1476	0
1477	0
1478	0
1479	0
1480	1
1481	0
1482	0
1483	0
1484	0
1485	0
1486	0
1487	0
1488	0
1489	0
1490	0
1491	0
1492	0
1493	0
1494	0
1495	0
1496	0
1497	0
1498	0
1499	0
1500	0
1501	0
1502	0
1503	0
1504	0
1505	0
1506	0
1507	0
1508	0
1509	0
1510	0
1511	0
1512	0
1513	0
1514	0
1515	3
1516	1
1517	0
1518	0
1519	1
1520	1
1521	0
1522	4
1523	5
1524	5
1525	1
1526	1
1527	3
1528	6
1529	9
1530	2
1531	0
1532	0
1533	1
1534	5
1535	0
1536	3
1537	0
1538	0
1539	0
1540	1
1541	0
1542	0
1543	1
1544	0
1545	0
1546	0
1547	1
1548	0
1549	0
1550	1
1551	0
1552	1
1553	4
1554	2
1555	1
1556	0
1557	2
1558	0
1559	1
1560	0
1561	1
1562	1
1563	0
1564	1
1565	0
1566	1
1567	0
1568	1
1569	0
1570	0
1571	0
1572	0
1573	0
1574	0
1575	1
1576	1
1577	1
1578	1
1579	0
1580	1
1581	1
1582	0
1583	1
1584	0
1585	2
1586	1
1587	1
1588	0
1589	1
1590	0
1591	2
1592	0
1593	1
1594	1
1595	1
1596	0
1597	1
1598	0
1599	0
1600	0
1601	0
1602	0
1603	3
1604	4
1605	6
1606	5
1607	6
1608	4
1609	1
1610	0
1611	3
1612	6
1613	2
1614	2
1615	6
1616	1
1617	0
1618	1
1619	3
1620	9
1621	4
