coverage	n
799	0
800	0
801	0
802	0
803	0
804	0
805	0
806	0
807	0
808	0
809	0
810	0
811	1
812	0
813	0
814	0
815	0
816	0
817	0
818	0
819	0
820	0
821	1
822	0
823	0
824	0
825	0
826	0
827	0
828	0
829	0
830	0
831	3
832	9
833	12
834	10
835	17
836	16
837	8
838	3
839	5
840	3
841	8
842	7
843	15
844	6
845	9
846	8
847	8
848	14
849	18
850	13
851	3
852	5
853	7
854	8
855	15
856	7
857	8
858	13
859	1
860	3
861	4
862	3
863	2
864	0
865	4
866	1
867	6
868	5
869	7
870	3
871	9
872	9
873	5
874	5
875	9
876	0
877	1
878	5
879	7
880	13
881	6
882	18
883	12
884	8
885	8
886	0
887	0
888	2
889	0
890	1
891	2
892	4
893	0
894	1
895	0
896	2
897	1
898	0
899	0
900	2
901	0
902	0
903	2
904	2
905	0
906	0
907	0
908	0
909	0
910	0
911	0
912	0
913	0
914	0
915	0
916	2
917	0
918	0
919	0
920	0
921	0
922	0
923	1
924	0
925	1
926	0
927	12
928	2
929	3
930	17
931	13
932	12
933	4
934	12
935	1
936	7
937	5
938	5
939	4
940	2
941	22
942	8
943	16
944	8
945	9
946	6
947	4
948	0
949	4
950	1
951	2
952	4
953	2
954	2
955	3
956	1
957	0
958	2
959	2
960	0
961	1
962	0
963	2
964	1
965	2
966	2
967	1
968	5
969	4
970	5
971	15
972	1
973	1
974	3
975	0
976	2
977	5
978	3
979	4
980	5
981	4
982	0
983	0
984	1
985	3
986	1
987	1
988	3
989	2
990	1
991	0
992	5
993	0
994	1
995	1
996	1
997	1
998	2
999	6
1000	2
1001	5
1002	8
1003	4
1004	8
1005	13
1006	9
1007	4
1008	4
1009	3
1010	33
1011	21
1012	19
1013	8
1014	4
1015	7
1016	10
1017	11
1018	19
1019	4
1020	16
1021	2
1022	0
1023	0
1024	0
1025	0
1026	1
1027	1
1028	1
1029	3
1030	3
1031	0
1032	0
1033	2
1034	7
1035	5
1036	3
1037	4
1038	6
1039	4
1040	2
1041	1
1042	0
1043	12
1044	9
1045	11
1046	10
1047	5
1048	2
1049	4
1050	13
1051	11
1052	3
1053	15
1054	8
1055	5
1056	10
1057	2
1058	6
1059	2
1060	3
1061	2
1062	5
1063	4
1064	4
1065	1
1066	1
1067	0
1068	0
1069	1
1070	0
1071	1
1072	0
1073	1
1074	2
1075	0
1076	6
